date,user_id,event_name,user_type,level,revenue
2025-01-02,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,session_start,F2P,1,0.0
2025-01-02,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,1,0.0
2025-01-02,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,2,0.0
2025-01-02,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,3,0.0
2025-01-02,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,4,0.0
2025-01-03,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,session_start,F2P,5,0.0
2025-01-03,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,5,0.0
2025-01-03,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,6,0.0
2025-01-03,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,7,0.0
2025-01-03,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,8,0.0
2025-01-03,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_fail,F2P,9,0.0
2025-01-04,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,session_start,F2P,9,0.0
2025-01-04,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_fail,F2P,9,0.0
2025-01-04,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,9,0.0
2025-01-05,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,session_start,F2P,10,0.0
2025-01-05,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,10,0.0
2025-01-05,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,11,0.0
2025-01-06,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,session_start,F2P,12,0.0
2025-01-06,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,12,0.0
2025-01-06,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,13,0.0
2025-01-06,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_complete,F2P,14,0.0
2025-01-06,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_fail,F2P,15,0.0
2025-01-07,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,session_start,F2P,15,0.0
2025-01-07,3db867fb-69b0-4b3b-bb8d-5f75e4410c49,level_fail,F2P,15,0.0
