impression_id,user_id,timestamp,ad_type,placement,revenue
97b82478-b7a7-4518-8187-85e0bab48002,6790f5d6,2025-11-03T19:26:04,Interstitial,End Game,0.0096
ccb9cddf-99cc-4bbd-8797-8bb53a5c3573,6790f5d6,2025-11-04T11:34:11,Interstitial,End Game,0.0183
31a24d2f-4fca-49bc-b955-dbf08a7ba443,6790f5d6,2025-11-05T11:10:27,Interstitial,End Game,0.0066
adc26ac7-9cf1-421a-9b6a-426d64e2d0e5,6790f5d6,2025-11-07T11:28:51,Interstitial,End Game,0.0186
8f16b902-bcfe-4301-922b-4be1a5d2a7c5,6790f5d6,2025-11-07T19:16:33,Rewarded Video,Revive,0.0219
c7af4682-963f-4ad8-8fee-46f3c5379e58,6790f5d6,2025-11-07T19:19:32,Rewarded Video,Revive,0.0301
ceab0041-0963-4905-bd2b-40374ee3db6e,2da9cb4d,2025-11-27T09:09:53,Interstitial,End Game,0.0188
63c9fd4d-03f3-4b20-b804-519cf4cf029c,26f794ed,2025-10-09T23:33:28,Interstitial,End Game,0.013
b7758817-f17c-4520-a7db-3e3a60312401,26f794ed,2025-10-09T23:42:11,Interstitial,End Game,0.0099
39540a48-49d0-4135-8fa6-6af769812fa0,8c0b7d4d,2025-10-15T22:36:46,Interstitial,End Game,0.0135
8609e613-63a9-4a1c-b3bb-6876fe8160f9,8c0b7d4d,2025-10-17T22:28:32,Interstitial,End Game,0.0102
17700519-ca93-4428-b26b-28cd047c14c2,8c0b7d4d,2025-10-18T14:27:54,Interstitial,End Game,0.0166
473f30d3-8d4f-4f7c-a10c-291d59846b5a,8c0b7d4d,2025-10-19T06:57:20,Interstitial,End Game,0.0071
c3425275-6015-4893-84e9-b77ca63098f9,8c0b7d4d,2025-10-19T15:23:12,Interstitial,End Game,0.0134
6df68ae2-978d-4fbb-b905-ae706b990b07,0a1e6387,2025-11-02T10:23:46,Rewarded Video,Revive,0.0336
